Q,Region,CBA,CBT
2012-11-01,noreste,123210,272300
2012-11-01,noroeste,119540,261920
2012-11-01,pampeana,136340,321770
2012-11-01,patagonia,142080,380770
2012-12-01,cuyo,122690,308390
2012-12-01,gran_buenos_aires,137650,324990
2012-12-01,noreste,123210,272300
2012-12-01,noroeste,119540,261920
2012-12-01,pampeana,136340,321770
2012-12-01,patagonia,142080,380770
2013-01-01,cuyo,122690,308390
2013-01-01,gran_buenos_aires,137650,324990
2013-01-01,noreste,123210,272300
2013-01-01,noroeste,119540,261920
2013-01-01,pampeana,136340,321770
2013-01-01,patagonia,142080,380770
2013-02-01,cuyo,122690,308390
2013-02-01,gran_buenos_aires,137650,324990
2013-02-01,noreste,123210,272300
2013-02-01,noroeste,119540,261920
2013-02-01,pampeana,136340,321770
2013-02-01,patagonia,142080,380770
2013-03-01,cuyo,122690,308390
2013-03-01,gran_buenos_aires,137650,324990
2013-03-01,noreste,123210,272300
2013-03-01,noroeste,119540,261920
2013-03-01,pampeana,136340,321770
2013-03-01,patagonia,142080,380770
2013-04-01,cuyo,122690,308390
2013-04-01,gran_buenos_aires,137650,324990
2013-04-01,noreste,123210,272300
2013-04-01,noroeste,119540,261920
2013-04-01,pampeana,136340,321770
2013-04-01,patagonia,142080,380770
2013-05-01,cuyo,122690,308390
2013-05-01,gran_buenos_aires,137650,324990
