Q,Region,CBA_2016-01,CBT_2016-01,index,CBA_ARScorr,CBT_ARScorr,CBA_2022-12,CBT_2022-12
2011-05-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,28.904242725142225,398,971,20604,50217
2011-05-15,noreste,1232.130273205757,2811.8558949373987,28.904242725142225,356,813,18416,42027
2011-05-15,noroeste,1197.4449498245592,2708.834587450183,28.904242725142225,346,783,17898,40488
2011-05-15,pampeana,1366.1084763454912,3328.815534019302,28.904242725142225,395,962,20419,49754
2011-05-15,patagonia,1422.3866776697025,3935.376729360791,28.904242725142225,411,1137,21260,58820
2011-08-15,cuyo,1227.3627684117912,3184.7771977502325,30.5500102418666,375,973,18345,47601
2011-08-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,30.5500102418666,421,1026,20604,50217
2011-08-15,noreste,1232.130273205757,2811.8558949373987,30.5500102418666,376,859,18416,42027
2011-08-15,noroeste,1197.4449498245592,2708.834587450183,30.5500102418666,366,828,17898,40488
2011-08-15,pampeana,1366.1084763454912,3328.815534019302,30.5500102418666,417,1017,20419,49754
2011-08-15,patagonia,1422.3866776697025,3935.376729360791,30.5500102418666,435,1202,21260,58820
2011-11-15,cuyo,1227.3627684117912,3184.7771977502325,32.017687465297136,393,1020,18345,47601
2011-11-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,32.017687465297136,441,1076,20604,50217
2011-11-15,noreste,1232.130273205757,2811.8558949373987,32.017687465297136,394,900,18416,42027
2011-11-15,noroeste,1197.4449498245592,2708.834587450183,32.017687465297136,383,867,17898,40488
2011-11-15,pampeana,1366.1084763454912,3328.815534019302,32.017687465297136,437,1066,20419,49754
2011-11-15,patagonia,1422.3866776697025,3935.376729360791,32.017687465297136,455,1260,21260,58820
2012-02-15,cuyo,1227.3627684117912,3184.7771977502325,33.63805830287223,413,1071,18345,47601
2012-02-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,33.63805830287223,464,1130,20604,50217
2012-02-15,noreste,1232.130273205757,2811.8558949373987,33.63805830287223,414,946,18416,42027
2012-02-15,noroeste,1197.4449498245592,2708.834587450183,33.63805830287223,403,911,17898,40488
2012-02-15,pampeana,1366.1084763454912,3328.815534019302,33.63805830287223,460,1120,20419,49754
2012-02-15,patagonia,1422.3866776697025,3935.376729360791,33.63805830287223,478,1324,21260,58820
2012-05-15,cuyo,1227.3627684117912,3184.7771977502325,35.85415371308522,440,1142,18345,47601
2012-05-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,35.85415371308522,494,1205,20604,50217
2012-05-15,noreste,1232.130273205757,2811.8558949373987,35.85415371308522,442,1008,18416,42027
2012-05-15,noroeste,1197.4449498245592,2708.834587450183,35.85415371308522,429,971,17898,40488
2012-05-15,pampeana,1366.1084763454912,3328.815534019302,35.85415371308522,490,1194,20419,49754
2012-05-15,patagonia,1422.3866776697025,3935.376729360791,35.85415371308522,510,1411,21260,58820
2012-08-15,cuyo,1227.3627684117912,3184.7771977502325,38.80353135085647,476,1236,18345,47601
2012-08-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,38.80353135085647,535,1304,20604,50217
2012-08-15,noreste,1232.130273205757,2811.8558949373987,38.80353135085647,478,1091,18416,42027
2012-08-15,noroeste,1197.4449498245592,2708.834587450183,38.80353135085647,465,1051,17898,40488
2012-08-15,pampeana,1366.1084763454912,3328.815534019302,38.80353135085647,530,1292,20419,49754
2012-08-15,patagonia,1422.3866776697025,3935.376729360791,38.80353135085647,552,1527,21260,58820
2012-11-15,cuyo,1227.3627684117912,3184.7771977502325,40.74132687470741,500,1298,18345,47601
2012-11-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,40.74132687470741,562,1369,20604,50217
2012-11-15,noreste,1232.130273205757,2811.8558949373987,40.74132687470741,502,1146,18416,42027
2012-11-15,noroeste,1197.4449498245592,2708.834587450183,40.74132687470741,488,1104,17898,40488
2012-11-15,pampeana,1366.1084763454912,3328.815534019302,40.74132687470741,557,1356,20419,49754
2012-11-15,patagonia,1422.3866776697025,3935.376729360791,40.74132687470741,579,1603,21260,58820
2013-02-15,cuyo,1227.3627684117912,3184.7771977502325,43.04999582215833,528,1371,18345,47601
2013-02-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,43.04999582215833,593,1446,20604,50217
2013-02-15,noreste,1232.130273205757,2811.8558949373987,43.04999582215833,530,1211,18416,42027
2013-02-15,noroeste,1197.4449498245592,2708.834587450183,43.04999582215833,516,1166,17898,40488
2013-02-15,pampeana,1366.1084763454912,3328.815534019302,43.04999582215833,588,1433,20419,49754
2013-02-15,patagonia,1422.3866776697025,3935.376729360791,43.04999582215833,612,1694,21260,58820
2013-05-15,cuyo,1227.3627684117912,3184.7771977502325,45.50565067464645,559,1449,18345,47601
